geocode,municipio,uf,disease,period,zone,cases
210400, Esperantinópolis,21,VL,2004-2008,rural,1
210450, Governador Archer,21,VL,2004-2008,rural,1
210535, Itaipava do Grajaú,21,VL,2004-2008,rural,0
210540, Itapecuru Mirim,21,VL,2004-2008,rural,4
210542, Itinga do Maranhão,21,VL,2004-2008,rural,1
210590, Lago Verde,21,VL,2004-2008,rural,1
210600, Lima Campos,21,VL,2004-2008,rural,0
210640, Mata Roma,21,VL,2004-2008,rural,1
210670, Mirador,21,VL,2004-2008,rural,2
210675, Miranda do Norte,21,VL,2004-2008,rural,1
210740, Olho d'Água das Cunhãs,21,VL,2004-2008,rural,0
210870, Pio XII,21,VL,2004-2008,rural,1
210890, Poção de Pedras,21,VL,2004-2008,rural,0
210930, Presidente Vargas,21,VL,2004-2008,rural,NA
210990, Santa Inês,21,VL,2004-2008,rural,1
211125, São José dos Basílios,21,VL,2004-2008,rural,0
211153, São Pedro da Água Branca,21,VL,2004-2008,rural,0
211174, Senador Alexandre Costa,21,VL,2004-2008,rural,0
211260, Urbano Santos,21,VL,2004-2008,rural,5
211300, Vitorino Freire,21,VL,2004-2008,rural,1
231290, Sobral,23,VL,2004-2008,rural,0
510025, Alta Floresta,51,VL,2004-2008,rural,0
510268, Campos de Júlio,51,VL,2004-2008,rural,1
510590, Nobres,51,VL,2004-2008,rural,0
510624, Nova Ubiratã,51,VL,2004-2008,rural,1
510790, Sinop,51,VL,2004-2008,rural,0
510792, Sorriso,51,VL,2004-2008,rural,0
510850, Vera,51,VL,2004-2008,rural,1
510860, Vila Rica,51,VL,2004-2008,rural,0
520140, Aparecida de Goiânia,52,VL,2004-2008,rural,0
110160, Theobroma,11,VL,2015-2019,rural,1
130020, Atalaia do Norte,13,VL,2015-2019,rural,1
130185, Iranduba,13,VL,2015-2019,rural,1
130260, Manaus,13,VL,2015-2019,rural,0
140002, Amajari,14,VL,2015-2019,rural,3
140010, Boa Vista,14,VL,2015-2019,rural,1
140015, Bonfim,14,VL,2015-2019,rural,4
140017, Cantá,14,VL,2015-2019,rural,0
140028, Iracema,14,VL,2015-2019,rural,2
140030, Mucajaí,14,VL,2015-2019,rural,0
140040, Normandia,14,VL,2015-2019,rural,12
140045, Pacaraima,14,VL,2015-2019,rural,21
140047, Rorainópolis,14,VL,2015-2019,rural,0
140070, Uiramutã,14,VL,2015-2019,rural,59
150010, Abaetetuba,15,VL,2015-2019,rural,28
150013, Abel Figueiredo,15,VL,2015-2019,rural,0
150020, Acará,15,VL,2015-2019,rural,50
150040, Alenquer,15,VL,2015-2019,rural,0
150080, Ananindeua,15,VL,2015-2019,rural,0
150085, Anapu,15,VL,2015-2019,rural,2
150090, Augusto Corrêa,15,VL,2015-2019,rural,1
150095, Aurora do Pará,15,VL,2015-2019,rural,5
150110, Bagre,15,VL,2015-2019,rural,2
150120, Baião,15,VL,2015-2019,rural,16
150125, Bannach,15,VL,2015-2019,rural,1
150130, Barcarena,15,VL,2015-2019,rural,10
