geocode,municipio,uf,disease,period,rural,urban,total
150745, São Geraldo do Araguaia,15,CL,2004-2008,56,86,142
150746, São João da Ponta,15,CL,2004-2008,5,0,5
150747, São João de Pirabas,15,CL,2004-2008,8,0,8
150750, São João do Araguaia,15,CL,2004-2008,21,3,24
150760, São Miguel do Guamá,15,CL,2004-2008,18,23,41
150770, São Sebastião da Boa Vista,15,CL,2004-2008,7,2,9
150775, Sapucaia,15,CL,2004-2008,4,4,8
150780, Senador José Porfírio,15,CL,2004-2008,54,58,112
150790, Soure,15,CL,2004-2008,1,0,1
150795, Tailândia,15,CL,2004-2008,433,265,698
150796, Terra Alta,15,CL,2004-2008,4,0,4
150797, Terra Santa,15,CL,2004-2008,22,64,86
150800, Tomé-Açu,15,CL,2004-2008,483,176,659
150803, Tracuateua,15,CL,2004-2008,21,9,30
150805, Trairão,15,CL,2004-2008,117,53,170
150808, Tucumã,15,CL,2004-2008,51,134,185
150810, Tucuruí,15,CL,2004-2008,16,294,310
150812, Ulianópolis,15,CL,2004-2008,152,296,448
150815, Uruará,15,CL,2004-2008,602,140,742
150820, Vigia,15,CL,2004-2008,1,3,4
150830, Viseu,15,CL,2004-2008,45,3,48
150835, Vitória do Xingu,15,CL,2004-2008,28,4,32
150840, Xinguara,15,CL,2004-2008,11,61,72
150000, Município ignorado - PA,15,CL,2004-2008,2,0,2
160010, Amapá,16,CL,2004-2008,6,8,14
160020, Calçoene,16,CL,2004-2008,128,34,162
160021, Cutias,16,CL,2004-2008,2,0,2
160023, Ferreira Gomes,16,CL,2004-2008,15,4,19
160027, Laranjal do Jari,16,CL,2004-2008,197,594,791
160030, Macapá,16,CL,2004-2008,39,410,449
160040, Mazagão,16,CL,2004-2008,158,18,176
160050, Oiapoque,16,CL,2004-2008,126,507,633
160015, Pedra Branca do Amapari,16,CL,2004-2008,149,74,223
160053, Porto Grande,16,CL,2004-2008,469,111,580
160055, Pracuúba,16,CL,2004-2008,12,2,14
160060, Santana,16,CL,2004-2008,65,150,215
160005, Serra do Navio,16,CL,2004-2008,134,82,216
160070, Tartarugalzinho,16,CL,2004-2008,116,41,157
160080, Vitória do Jari,16,CL,2004-2008,24,75,99
160000, Município ignorado - AP,16,CL,2004-2008,2,1,3
170025, Abreulândia,17,CL,2004-2008,10,11,21
170030, Aguiarnópolis,17,CL,2004-2008,2,7,9
170035, Aliança do Tocantins,17,CL,2004-2008,0,6,6
170040, Almas,17,CL,2004-2008,3,9,12
170100, Ananás,17,CL,2004-2008,15,81,96
170105, Angico,17,CL,2004-2008,5,3,8
170110, Aparecida do Rio Negro,17,CL,2004-2008,9,22,31
170130, Aragominas,17,CL,2004-2008,4,5,9
170190, Araguacema,17,CL,2004-2008,18,4,22
170200, Araguaçu,17,CL,2004-2008,16,26,42
170210, Araguaína,17,CL,2004-2008,16,151,167
170215, Araguanã,17,CL,2004-2008,2,8,10
170220, Araguatins,17,CL,2004-2008,16,23,39
170230, Arapoema,17,CL,2004-2008,5,10,15
170240, Arraias,17,CL,2004-2008,3,1,4
170255, Augustinópolis,17,CL,2004-2008,2,12,14
170270, Aurora do Tocantins,17,CL,2004-2008,8,5,13
170290, Axixá do Tocantins,17,CL,2004-2008,5,7,12
170300, Babaçulândia,17,CL,2004-2008,11,8,19
170305, Bandeirantes do Tocantins,17,CL,2004-2008,1,5,6
170307, Barra do Ouro,17,CL,2004-2008,2,3,5
170310, Barrolândia,17,CL,2004-2008,1,9,10
170320, Bernardo Sayão,17,CL,2004-2008,1,1,2
170330, Bom Jesus do Tocantins,17,CL,2004-2008,4,7,11
170360, Brasilândia do Tocantins,17,CL,2004-2008,0,7,7
170370, Brejinho de Nazaré,17,CL,2004-2008,3,4,7
170380, Buriti do Tocantins,17,CL,2004-2008,3,1,4
