geocode,municipio,uf,disease,period,rural,urban,total
211160, São Raimundo das Mangabeiras,21,VL,2004-2008,2,5,7
211176, Senador La Rocque,21,VL,2004-2008,0,2,2
211180, Sítio Novo,21,VL,2004-2008,4,1,5
211210, Timbiras,21,VL,2004-2008,4,2,6
211223, Trizidela do Vale,21,VL,2004-2008,2,6,8
211230, Tuntum,21,VL,2004-2008,5,0,5
211270, Vargem Grande,21,VL,2004-2008,9,1,10
211400, Zé Doca,21,VL,2004-2008,0,2,2
290320, Barreiras,29,VL,2004-2008,1,0,1
290760, Central,29,VL,2004-2008,0,1,1
500100, Aparecida do Taboado,50,VL,2004-2008,0,1,1
510180, Barra do Garças,51,VL,2004-2008,1,4,5
510250, Cáceres,51,VL,2004-2008,1,0,1
510267, Campo Verde,51,VL,2004-2008,0,1,1
510300, Chapada dos Guimarães,51,VL,2004-2008,3,0,3
510340, Cuiabá,51,VL,2004-2008,4,9,13
510380, Figueirópolis D'Oeste,51,VL,2004-2008,1,0,1
510480, Jaciara,51,VL,2004-2008,1,8,9
510562, Mirassol d'Oeste,51,VL,2004-2008,0,4,4
510610, Nossa Senhora do Livramento,51,VL,2004-2008,2,0,2
510890, Nova Maringá,51,VL,2004-2008,0,1,1
510628, Novo São Joaquim,51,VL,2004-2008,1,0,1
510637, Pedra Preta,51,VL,2004-2008,NA,NA,1
510642, Peixoto de Azevedo,51,VL,2004-2008,1,1,2
510650, Poconé,51,VL,2004-2008,0,3,3
510700, Poxoréo,51,VL,2004-2008,0,17,17
510704, Primavera do Leste,51,VL,2004-2008,2,6,8
510760, Rondonópolis,51,VL,2004-2008,0,52,52
510770, Rosário Oeste,51,VL,2004-2008,3,1,4
510775, Salto do Céu,51,VL,2004-2008,0,1,1
510729, São José do Povo,51,VL,2004-2008,1,0,1
510840, Várzea Grande,51,VL,2004-2008,0,9,9
110045, Buritis,11,VL,2004-2008,0,1,1
110070, Campo Novo de Rondônia,11,VL,2004-2008,0,1,1
110140, Monte Negro,11,VL,2004-2008,1,0,1
130330, Novo Aripuanã,13,VL,2004-2008,1,0,1
130340, Parintins,13,VL,2004-2008,1,0,1
140017, Cantá,14,VL,2004-2008,1,0,1
150180, Breves,15,VL,2004-2008,0,1,1
150260, Colares,15,VL,2004-2008,1,0,1
150270, Conceição do Araguaia,15,VL,2004-2008,3,26,29
150309, Goianésia do Pará,15,VL,2004-2008,1,0,1
150340, Inhangapi,15,VL,2004-2008,1,0,1
150370, Itupiranga,15,VL,2004-2008,0,1,1
150400, Limoeiro do Ajuru,15,VL,2004-2008,2,0,2
150500, Nova Timboteua,15,VL,2004-2008,0,1,1
150549, Palestina do Pará,15,VL,2004-2008,1,1,2
150555, Pau D'Arco,15,VL,2004-2008,0,1,1
150640, Santa Cruz do Arari,15,VL,2004-2008,1,0,1
150655, Santa Luzia do Pará,15,VL,2004-2008,0,2,2
150710, São Caetano de Odivelas,15,VL,2004-2008,1,0,1
150715, São Domingos do Araguaia,15,VL,2004-2008,0,1,1
150750, São João do Araguaia,15,VL,2004-2008,1,0,1
150770, São Sebastião da Boa Vista,15,VL,2004-2008,1,0,1
150812, Ulianópolis,15,VL,2004-2008,0,2,2
150840, Xinguara,15,VL,2004-2008,0,5,5
160080, Vitória do Jari,16,VL,2004-2008,0,1,1
170105, Angico,17,VL,2004-2008,0,1,1
170130, Aragominas,17,VL,2004-2008,2,0,2
170215, Araguanã,17,VL,2004-2008,3,4,7
170240, Arraias,17,VL,2004-2008,1,0,1
170270, Aurora do Tocantins,17,VL,2004-2008,1,0,1
170307, Barra do Ouro,17,VL,2004-2008,0,1,1
170310, Barrolândia,17,VL,2004-2008,1,0,1
170388, Carmolândia,17,VL,2004-2008,0,2,2
171670, Colméia,17,VL,2004-2008,0,1,1
170555, Combinado,17,VL,2004-2008,1,0,1
170600, Couto Magalhães,17,VL,2004-2008,3,2,5
170755, Fátima,17,VL,2004-2008,0,1,1
171180, Juarina,17,VL,2004-2008,0,1,1
171395, Muricilândia,17,VL,2004-2008,0,3,3
171660, Peixe,17,VL,2004-2008,0,1,1
171720, Piraquê,17,VL,2004-2008,1,1,2
171750, Pium,17,VL,2004-2008,2,0,2
172210, Xambioá,17,VL,2004-2008,0,1,1
210043, Alto Alegre do Maranhão,21,VL,2004-2008,0,1,1
210095, Arame,21,VL,2004-2008,1,0,1
210130, Bacuri,21,VL,2004-2008,1,1,2
210193, Bernardo do Mearim,21,VL,2004-2008,1,0,1
210207, Bom Lugar,21,VL,2004-2008,1,0,1
210255, Campestre do Maranhão,21,VL,2004-2008,0,2,2
210320, Chapadinha,21,VL,2004-2008,3,1,4
210370, Cururupu,21,VL,2004-2008,0,1,1
210400, Esperantinópolis,21,VL,2004-2008,1,0,1
210450, Governador Archer,21,VL,2004-2008,1,1,2
210535, Itaipava do Grajaú,21,VL,2004-2008,0,1,1
210540, Itapecuru Mirim,21,VL,2004-2008,4,7,11
210542, Itinga do Maranhão,21,VL,2004-2008,1,0,1
210590, Lago Verde,21,VL,2004-2008,1,0,1
210600, Lima Campos,21,VL,2004-2008,0,1,1
210640, Mata Roma,21,VL,2004-2008,1,0,1
210670, Mirador,21,VL,2004-2008,2,0,2
210675, Miranda do Norte,21,VL,2004-2008,1,0,1
210740, Olho d'Água das Cunhãs,21,VL,2004-2008,0,1,1
210870, Pio XII,21,VL,2004-2008,1,0,1
210890, Poção de Pedras,21,VL,2004-2008,0,1,1
210930, Presidente Vargas,21,VL,2004-2008,NA,NA,1
210990, Santa Inês,21,VL,2004-2008,1,3,4
211125, São José dos Basílios,21,VL,2004-2008,0,1,1
211153, São Pedro da Água Branca,21,VL,2004-2008,0,1,1
211174, Senador Alexandre Costa,21,VL,2004-2008,0,2,2
211260, Urbano Santos,21,VL,2004-2008,5,1,6
211300, Vitorino Freire,21,VL,2004-2008,1,1,2
231290, Sobral,23,VL,2004-2008,0,1,1
510025, Alta Floresta,51,VL,2004-2008,0,1,1
510268, Campos de Júlio,51,VL,2004-2008,1,0,1
510590, Nobres,51,VL,2004-2008,0,1,1
510624, Nova Ubiratã,51,VL,2004-2008,1,0,1
510790, Sinop,51,VL,2004-2008,0,1,1
510792, Sorriso,51,VL,2004-2008,0,2,2
510850, Vera,51,VL,2004-2008,1,0,1
510860, Vila Rica,51,VL,2004-2008,0,1,1
520140, Aparecida de Goiânia,52,VL,2004-2008,0,1,1
110160, Theobroma,11,VL,2015-2019,1,0,1
130020, Atalaia do Norte,13,VL,2015-2019,1,0,1
130185, Iranduba,13,VL,2015-2019,1,0,1
130260, Manaus,13,VL,2015-2019,0,2,2
140002, Amajari,14,VL,2015-2019,3,0,3
140010, Boa Vista,14,VL,2015-2019,1,9,10
140015, Bonfim,14,VL,2015-2019,4,1,5
140017, Cantá,14,VL,2015-2019,0,1,1
140028, Iracema,14,VL,2015-2019,2,0,2
140030, Mucajaí,14,VL,2015-2019,0,1,1
140040, Normandia,14,VL,2015-2019,12,2,14
140045, Pacaraima,14,VL,2015-2019,21,2,23
140047, Rorainópolis,14,VL,2015-2019,0,2,2
140070, Uiramutã,14,VL,2015-2019,59,9,68
150010, Abaetetuba,15,VL,2015-2019,28,14,42
150013, Abel Figueiredo,15,VL,2015-2019,0,2,2
150020, Acará,15,VL,2015-2019,50,5,55
150040, Alenquer,15,VL,2015-2019,0,2,2
150080, Ananindeua,15,VL,2015-2019,0,8,8
150085, Anapu,15,VL,2015-2019,2,0,2
150090, Augusto Corrêa,15,VL,2015-2019,1,0,1
150095, Aurora do Pará,15,VL,2015-2019,5,1,6
150110, Bagre,15,VL,2015-2019,2,0,2
150120, Baião,15,VL,2015-2019,16,6,22
150125, Bannach,15,VL,2015-2019,1,1,2
150130, Barcarena,15,VL,2015-2019,10,15,25
150140, Belém,15,VL,2015-2019,2,23,25
150145, Belterra,15,VL,2015-2019,6,2,8
150150, Benevides,15,VL,2015-2019,0,1,1
150157, Bom Jesus do Tocantins,15,VL,2015-2019,3,6,9
150170, Bragança,15,VL,2015-2019,1,1,2
150175, Brejo Grande do Araguaia,15,VL,2015-2019,2,1,3
150178, Breu Branco,15,VL,2015-2019,5,3,8
150190, Bujaru,15,VL,2015-2019,30,1,31
150200, Cachoeira do Arari,15,VL,2015-2019,5,0,5
150210, Cametá,15,VL,2015-2019,83,12,95
150215, Canaã dos Carajás,15,VL,2015-2019,12,74,86
150220, Capanema,15,VL,2015-2019,0,1,1
150230, Capitão Poço,15,VL,2015-2019,1,0,1
150240, Castanhal,15,VL,2015-2019,1,5,6
150270, Conceição do Araguaia,15,VL,2015-2019,9,77,86
150275, Concórdia do Pará,15,VL,2015-2019,14,3,17
150276, Cumaru do Norte,15,VL,2015-2019,2,4,6
150277, Curionópolis,15,VL,2015-2019,2,28,30
150293, Dom Eliseu,15,VL,2015-2019,1,17,18
150295, Eldorado do Carajás,15,VL,2015-2019,20,125,145
150304, Floresta do Araguaia,15,VL,2015-2019,4,17,21
150307, Garrafão do Norte,15,VL,2015-2019,11,2,13
150309, Goianésia do Pará,15,VL,2015-2019,1,2,3
150320, Igarapé-Açu,15,VL,2015-2019,2,0,2
150330, Igarapé-Miri,15,VL,2015-2019,35,11,46
150345, Ipixuna do Pará,15,VL,2015-2019,5,0,5
150350, Irituia,15,VL,2015-2019,2,0,2
150360, Itaituba,15,VL,2015-2019,1,0,1
150370, Itupiranga,15,VL,2015-2019,5,6,11
150380, Jacundá,15,VL,2015-2019,0,7,7
150390, Juruti,15,VL,2015-2019,1,3,4
150400, Limoeiro do Ajuru,15,VL,2015-2019,6,0,6
