geocode,municipio,uf,disease,period,zone,cases
210315, Centro do Guilherme,21,Dengue,2004-2008,rural,1
210317, Centro Novo do Maranhão,21,Dengue,2004-2008,rural,8
210320, Chapadinha,21,Dengue,2004-2008,rural,5
210325, Cidelândia,21,Dengue,2004-2008,rural,51
210330, Codó,21,Dengue,2004-2008,rural,28
210350, Colinas,21,Dengue,2004-2008,rural,25
210355, Conceição do Lago-Açu,21,Dengue,2004-2008,rural,3
210360, Coroatá,21,Dengue,2004-2008,rural,27
210370, Cururupu,21,Dengue,2004-2008,rural,26
210375, Davinópolis,21,Dengue,2004-2008,rural,0
210380, Dom Pedro,21,Dengue,2004-2008,rural,8
210400, Esperantinópolis,21,Dengue,2004-2008,rural,9
210405, Estreito,21,Dengue,2004-2008,rural,12
210407, Feira Nova do Maranhão,21,Dengue,2004-2008,rural,15
210408, Fernando Falcão,21,Dengue,2004-2008,rural,5
210409, Formosa da Serra Negra,21,Dengue,2004-2008,rural,28
210410, Fortaleza dos Nogueiras,21,Dengue,2004-2008,rural,0
210420, Fortuna,21,Dengue,2004-2008,rural,16
210430, Godofredo Viana,21,Dengue,2004-2008,rural,1
210440, Gonçalves Dias,21,Dengue,2004-2008,rural,19
210450, Governador Archer,21,Dengue,2004-2008,rural,7
210455, Governador Edison Lobão,21,Dengue,2004-2008,rural,5
210460, Governador Eugênio Barros,21,Dengue,2004-2008,rural,22
210467, Governador Nunes Freire,21,Dengue,2004-2008,rural,19
210470, Graça Aranha,21,Dengue,2004-2008,rural,61
210480, Grajaú,21,Dengue,2004-2008,rural,96
210490, Guimarães,21,Dengue,2004-2008,rural,22
210500, Humberto de Campos,21,Dengue,2004-2008,rural,5
210510, Icatu,21,Dengue,2004-2008,rural,21
210515, Igarapé do Meio,21,Dengue,2004-2008,rural,16
210520, Igarapé Grande,21,Dengue,2004-2008,rural,0
210530, Imperatriz,21,Dengue,2004-2008,rural,4
210535, Itaipava do Grajaú,21,Dengue,2004-2008,rural,69
210540, Itapecuru Mirim,21,Dengue,2004-2008,rural,127
210542, Itinga do Maranhão,21,Dengue,2004-2008,rural,2
210545, Jatobá,21,Dengue,2004-2008,rural,16
210547, Jenipapo dos Vieiras,21,Dengue,2004-2008,rural,73
210550, João Lisboa,21,Dengue,2004-2008,rural,6
210560, Joselândia,21,Dengue,2004-2008,rural,88
210570, Lago da Pedra,21,Dengue,2004-2008,rural,81
210580, Lago do Junco,21,Dengue,2004-2008,rural,20
210594, Lago dos Rodrigues,21,Dengue,2004-2008,rural,6
210598, Lajeado Novo,21,Dengue,2004-2008,rural,28
210600, Lima Campos,21,Dengue,2004-2008,rural,2
210620, Luís Domingues,21,Dengue,2004-2008,rural,1
210632, Maracaçumé,21,Dengue,2004-2008,rural,1
210635, Marajá do Sena,21,Dengue,2004-2008,rural,2
210660, Matões,21,Dengue,2004-2008,rural,1
210670, Mirador,21,Dengue,2004-2008,rural,58
210675, Miranda do Norte,21,Dengue,2004-2008,rural,38
210680, Mirinzal,21,Dengue,2004-2008,rural,40
210690, Monção,21,Dengue,2004-2008,rural,20
210700, Montes Altos,21,Dengue,2004-2008,rural,1
210710, Morros,21,Dengue,2004-2008,rural,91
210725, Nova Colinas,21,Dengue,2004-2008,rural,4
