geocode,municipio,uf,disease,period,zone,cases
170307, Barra do Ouro,17,CL,2004-2008,rural,2
170310, Barrolândia,17,CL,2004-2008,rural,1
170320, Bernardo Sayão,17,CL,2004-2008,rural,1
170330, Bom Jesus do Tocantins,17,CL,2004-2008,rural,4
170360, Brasilândia do Tocantins,17,CL,2004-2008,rural,0
170370, Brejinho de Nazaré,17,CL,2004-2008,rural,3
170380, Buriti do Tocantins,17,CL,2004-2008,rural,3
170382, Cachoeirinha,17,CL,2004-2008,rural,0
170384, Campos Lindos,17,CL,2004-2008,rural,3
170386, Cariri do Tocantins,17,CL,2004-2008,rural,0
170388, Carmolândia,17,CL,2004-2008,rural,1
170389, Carrasco Bonito,17,CL,2004-2008,rural,0
170390, Caseara,17,CL,2004-2008,rural,20
170410, Centenário,17,CL,2004-2008,rural,17
170510, Chapada da Natividade,17,CL,2004-2008,rural,1
170460, Chapada de Areia,17,CL,2004-2008,rural,0
170550, Colinas do Tocantins,17,CL,2004-2008,rural,1
171670, Colméia,17,CL,2004-2008,rural,2
170555, Combinado,17,CL,2004-2008,rural,1
170600, Couto Magalhães,17,CL,2004-2008,rural,19
170610, Cristalândia,17,CL,2004-2008,rural,14
170625, Crixás do Tocantins,17,CL,2004-2008,rural,4
170650, Darcinópolis,17,CL,2004-2008,rural,9
170700, Dianópolis,17,CL,2004-2008,rural,45
170710, Divinópolis do Tocantins,17,CL,2004-2008,rural,9
170720, Dois Irmãos do Tocantins,17,CL,2004-2008,rural,13
170730, Dueré,17,CL,2004-2008,rural,12
170740, Esperantina,17,CL,2004-2008,rural,4
170755, Fátima,17,CL,2004-2008,rural,2
170770, Filadélfia,17,CL,2004-2008,rural,2
170820, Formoso do Araguaia,17,CL,2004-2008,rural,6
170825, Fortaleza do Tabocão,17,CL,2004-2008,rural,5
170830, Goianorte,17,CL,2004-2008,rural,10
170900, Goiatins,17,CL,2004-2008,rural,9
170930, Guaraí,17,CL,2004-2008,rural,15
170950, Gurupi,17,CL,2004-2008,rural,1
171050, Itacajá,17,CL,2004-2008,rural,15
171070, Itaguatins,17,CL,2004-2008,rural,3
171090, Itapiratins,17,CL,2004-2008,rural,8
171110, Itaporã do Tocantins,17,CL,2004-2008,rural,5
171150, Jaú do Tocantins,17,CL,2004-2008,rural,19
171190, Lagoa da Confusão,17,CL,2004-2008,rural,13
171200, Lajeado,17,CL,2004-2008,rural,4
171215, Lavandeira,17,CL,2004-2008,rural,7
171240, Lizarda,17,CL,2004-2008,rural,8
171245, Luzinópolis,17,CL,2004-2008,rural,5
171250, Marianópolis do Tocantins,17,CL,2004-2008,rural,19
171270, Mateiros,17,CL,2004-2008,rural,1
171280, Maurilândia do Tocantins,17,CL,2004-2008,rural,2
171320, Miracema do Tocantins,17,CL,2004-2008,rural,11
171330, Miranorte,17,CL,2004-2008,rural,2
171360, Monte do Carmo,17,CL,2004-2008,rural,30
171370, Monte Santo do Tocantins,17,CL,2004-2008,rural,2
171395, Muricilândia,17,CL,2004-2008,rural,2
171430, Nazaré,17,CL,2004-2008,rural,6
171488, Nova Olinda,17,CL,2004-2008,rural,4
171500, Nova Rosalândia,17,CL,2004-2008,rural,5
171510, Novo Acordo,17,CL,2004-2008,rural,1
171515, Novo Alegre,17,CL,2004-2008,rural,4
171525, Novo Jardim,17,CL,2004-2008,rural,9
172100, Palmas,17,CL,2004-2008,rural,14
171570, Palmeirante,17,CL,2004-2008,rural,3
171380, Palmeiras do Tocantins,17,CL,2004-2008,rural,2
171575, Palmeirópolis,17,CL,2004-2008,rural,4
171610, Paraíso do Tocantins,17,CL,2004-2008,rural,4
171620, Paranã,17,CL,2004-2008,rural,3
171630, Pau D'Arco,17,CL,2004-2008,rural,2
171650, Pedro Afonso,17,CL,2004-2008,rural,8
171660, Peixe,17,CL,2004-2008,rural,1
171665, Pequizeiro,17,CL,2004-2008,rural,0
171700, Pindorama do Tocantins,17,CL,2004-2008,rural,3
171720, Piraquê,17,CL,2004-2008,rural,11
171750, Pium,17,CL,2004-2008,rural,13
171780, Ponte Alta do Bom Jesus,17,CL,2004-2008,rural,1
171790, Ponte Alta do Tocantins,17,CL,2004-2008,rural,32
171800, Porto Alegre do Tocantins,17,CL,2004-2008,rural,4
171820, Porto Nacional,17,CL,2004-2008,rural,14
171830, Praia Norte,17,CL,2004-2008,rural,3
171840, Presidente Kennedy,17,CL,2004-2008,rural,2
171845, Pugmil,17,CL,2004-2008,rural,2
171850, Recursolândia,17,CL,2004-2008,rural,6
171855, Riachinho,17,CL,2004-2008,rural,15
171865, Rio da Conceição,17,CL,2004-2008,rural,2
171870, Rio dos Bois,17,CL,2004-2008,rural,4
171875, Rio Sono,17,CL,2004-2008,rural,12
171880, Sampaio,17,CL,2004-2008,rural,0
171884, Sandolândia,17,CL,2004-2008,rural,23
171886, Santa Fé do Araguaia,17,CL,2004-2008,rural,6
171888, Santa Maria do Tocantins,17,CL,2004-2008,rural,7
171889, Santa Rita do Tocantins,17,CL,2004-2008,rural,1
171890, Santa Rosa do Tocantins,17,CL,2004-2008,rural,6
172000, Santa Terezinha do Tocantins,17,CL,2004-2008,rural,2
172010, São Bento do Tocantins,17,CL,2004-2008,rural,8
172015, São Félix do Tocantins,17,CL,2004-2008,rural,0
172020, São Miguel do Tocantins,17,CL,2004-2008,rural,2
172025, São Salvador do Tocantins,17,CL,2004-2008,rural,6
172030, São Sebastião do Tocantins,17,CL,2004-2008,rural,0
172049, São Valério,17,CL,2004-2008,rural,0
172065, Silvanópolis,17,CL,2004-2008,rural,2
172080, Sítio Novo do Tocantins,17,CL,2004-2008,rural,10
172090, Taguatinga,17,CL,2004-2008,rural,16
172110, Tocantínia,17,CL,2004-2008,rural,61
172120, Tocantinópolis,17,CL,2004-2008,rural,11
172125, Tupirama,17,CL,2004-2008,rural,2
172130, Tupiratins,17,CL,2004-2008,rural,3
172208, Wanderlândia,17,CL,2004-2008,rural,13
172210, Xambioá,17,CL,2004-2008,rural,10
210005, Açailândia,21,CL,2004-2008,rural,85
210020, Alcântara,21,CL,2004-2008,rural,38
210040, Altamira do Maranhão,21,CL,2004-2008,rural,16
210043, Alto Alegre do Maranhão,21,CL,2004-2008,rural,35
210047, Alto Alegre do Pindaré,21,CL,2004-2008,rural,111
210050, Alto Parnaíba,21,CL,2004-2008,rural,6
210055, Amapá do Maranhão,21,CL,2004-2008,rural,11
210060, Amarante do Maranhão,21,CL,2004-2008,rural,95
210070, Anajatuba,21,CL,2004-2008,rural,8
210087, Araguanã,21,CL,2004-2008,rural,19
210095, Arame,21,CL,2004-2008,rural,107
210110, Axixá,21,CL,2004-2008,rural,91
210120, Bacabal,21,CL,2004-2008,rural,1
210125, Bacabeira,21,CL,2004-2008,rural,2
210130, Bacuri,21,CL,2004-2008,rural,3
210135, Bacurituba,21,CL,2004-2008,rural,0
210140, Balsas,21,CL,2004-2008,rural,42
210160, Barra do Corda,21,CL,2004-2008,rural,63
210170, Barreirinhas,21,CL,2004-2008,rural,4
210177, Bela Vista do Maranhão,21,CL,2004-2008,rural,12
210180, Benedito Leite,21,CL,2004-2008,rural,6
210190, Bequimão,21,CL,2004-2008,rural,11
210193, Bernardo do Mearim,21,CL,2004-2008,rural,5
210197, Boa Vista do Gurupi,21,CL,2004-2008,rural,2
210200, Bom Jardim,21,CL,2004-2008,rural,84
210203, Bom Jesus das Selvas,21,CL,2004-2008,rural,94
210207, Bom Lugar,21,CL,2004-2008,rural,3
210210, Brejo,21,CL,2004-2008,rural,1
210215, Brejo de Areia,21,CL,2004-2008,rural,118
210220, Buriti,21,CL,2004-2008,rural,1
210230, Buriti Bravo,21,CL,2004-2008,rural,21
210232, Buriticupu,21,CL,2004-2008,rural,257
210235, Buritirana,21,CL,2004-2008,rural,20
210237, Cachoeira Grande,21,CL,2004-2008,rural,23
210255, Campestre do Maranhão,21,CL,2004-2008,rural,1
210260, Cândido Mendes,21,CL,2004-2008,rural,41
210270, Cantanhede,21,CL,2004-2008,rural,14
210275, Capinzal do Norte,21,CL,2004-2008,rural,3
210280, Carolina,21,CL,2004-2008,rural,25
210290, Carutapera,21,CL,2004-2008,rural,28
210300, Caxias,21,CL,2004-2008,rural,1
210310, Cedral,21,CL,2004-2008,rural,37
210312, Central do Maranhão,21,CL,2004-2008,rural,2
210315, Centro do Guilherme,21,CL,2004-2008,rural,34
210317, Centro Novo do Maranhão,21,CL,2004-2008,rural,64
210320, Chapadinha,21,CL,2004-2008,rural,1
210325, Cidelândia,21,CL,2004-2008,rural,20
210330, Codó,21,CL,2004-2008,rural,80
210350, Colinas,21,CL,2004-2008,rural,97
210360, Coroatá,21,CL,2004-2008,rural,21
210370, Cururupu,21,CL,2004-2008,rural,4
210375, Davinópolis,21,CL,2004-2008,rural,8
210380, Dom Pedro,21,CL,2004-2008,rural,17
210400, Esperantinópolis,21,CL,2004-2008,rural,35
210405, Estreito,21,CL,2004-2008,rural,15
210407, Feira Nova do Maranhão,21,CL,2004-2008,rural,16
210408, Fernando Falcão,21,CL,2004-2008,rural,17
210409, Formosa da Serra Negra,21,CL,2004-2008,rural,47
210410, Fortaleza dos Nogueiras,21,CL,2004-2008,rural,12
210420, Fortuna,21,CL,2004-2008,rural,78
210430, Godofredo Viana,21,CL,2004-2008,rural,7
210440, Gonçalves Dias,21,CL,2004-2008,rural,48
210450, Governador Archer,21,CL,2004-2008,rural,10
210455, Governador Edison Lobão,21,CL,2004-2008,rural,10
210460, Governador Eugênio Barros,21,CL,2004-2008,rural,75
210462, Governador Luiz Rocha,21,CL,2004-2008,rural,14
210465, Governador Newton Bello,21,CL,2004-2008,rural,31
210467, Governador Nunes Freire,21,CL,2004-2008,rural,94
210470, Graça Aranha,21,CL,2004-2008,rural,5
210480, Grajaú,21,CL,2004-2008,rural,83
210490, Guimarães,21,CL,2004-2008,rural,36
210500, Humberto de Campos,21,CL,2004-2008,rural,4
210510, Icatu,21,CL,2004-2008,rural,46
210515, Igarapé do Meio,21,CL,2004-2008,rural,3
210520, Igarapé Grande,21,CL,2004-2008,rural,7
210530, Imperatriz,21,CL,2004-2008,rural,8
210535, Itaipava do Grajaú,21,CL,2004-2008,rural,16
210540, Itapecuru Mirim,21,CL,2004-2008,rural,58
