geocode,municipio,uf,disease,period,zone,cases
150770, São Sebastião da Boa Vista,15,chagas,2015-2019,urban,4
150795, Tailândia,15,chagas,2015-2019,urban,1
150800, Tomé-Açu,15,chagas,2015-2019,urban,1
150803, Tracuateua,15,chagas,2015-2019,urban,1
150810, Tucuruí,15,chagas,2015-2019,urban,5
150830, Viseu,15,chagas,2015-2019,urban,0
160030, Macapá,16,chagas,2015-2019,urban,55
160040, Mazagão,16,chagas,2015-2019,urban,1
160060, Santana,16,chagas,2015-2019,urban,20
160070, Tartarugalzinho,16,chagas,2015-2019,urban,1
170110, Aparecida do Rio Negro,17,chagas,2015-2019,urban,11
170210, Araguaína,17,chagas,2015-2019,urban,10
170220, Araguatins,17,chagas,2015-2019,urban,0
170550, Colinas do Tocantins,17,chagas,2015-2019,urban,1
170600, Couto Magalhães,17,chagas,2015-2019,urban,0
170930, Guaraí,17,chagas,2015-2019,urban,3
172010, São Bento do Tocantins,17,chagas,2015-2019,urban,0
210020, Alcântara,21,chagas,2015-2019,urban,0
210530, Imperatriz,21,chagas,2015-2019,urban,1
210760, Palmeirândia,21,chagas,2015-2019,urban,0
210825, Pedro do Rosário,21,chagas,2015-2019,urban,2
210860, Pinheiro,21,chagas,2015-2019,urban,3
211020, Santa Rita,21,chagas,2015-2019,urban,0
211240, Turiaçu,21,chagas,2015-2019,urban,0
211245, Turilândia,21,chagas,2015-2019,urban,0
510343, Curvelândia,51,chagas,2015-2019,urban,0
510625, Nova Xavantina,51,chagas,2015-2019,urban,1
510760, Rondonópolis,51,chagas,2015-2019,urban,0
510790, Sinop,51,chagas,2015-2019,urban,1
110040, Alto Paraíso,11,chagas,2004-2008,total,2
110002, Ariquemes,11,chagas,2004-2008,total,7
110045, Buritis,11,chagas,2004-2008,total,1
110060, Cacaulândia,11,chagas,2004-2008,total,1
110005, Cerejeiras,11,chagas,2004-2008,total,1
110006, Colorado do Oeste,11,chagas,2004-2008,total,1
110012, Ji-Paraná,11,chagas,2004-2008,total,1
110140, Monte Negro,11,chagas,2004-2008,total,1
110143, Nova União,11,chagas,2004-2008,total,1
110015, Ouro Preto do Oeste,11,chagas,2004-2008,total,1
110145, Parecis,11,chagas,2004-2008,total,1
110018, Pimenta Bueno,11,chagas,2004-2008,total,3
110026, Rio Crespo,11,chagas,2004-2008,total,1
110028, Rolim de Moura,11,chagas,2004-2008,total,1
130014, Apuí,13,chagas,2004-2008,total,2
130120, Coari,13,chagas,2004-2008,total,26
130230, Jutaí,13,chagas,2004-2008,total,1
130260, Manaus,13,chagas,2004-2008,total,5
130420, Tefé,13,chagas,2004-2008,total,10
150010, Abaetetuba,15,chagas,2004-2008,total,40
150030, Afuá,15,chagas,2004-2008,total,12
150060, Altamira,15,chagas,2004-2008,total,1
150070, Anajás,15,chagas,2004-2008,total,9
150080, Ananindeua,15,chagas,2004-2008,total,14
150120, Baião,15,chagas,2004-2008,total,2
150130, Barcarena,15,chagas,2004-2008,total,35
150140, Belém,15,chagas,2004-2008,total,61
150200, Cachoeira do Arari,15,chagas,2004-2008,total,11
150195, Cachoeira do Piriá,15,chagas,2004-2008,total,1
150240, Castanhal,15,chagas,2004-2008,total,16
150420, Marabá,15,chagas,2004-2008,total,2
150442, Marituba,15,chagas,2004-2008,total,2
150460, Mocajuba,15,chagas,2004-2008,total,1
150470, Moju,15,chagas,2004-2008,total,12
150490, Muaná,15,chagas,2004-2008,total,1
150550, Paragominas,15,chagas,2004-2008,total,2
150553, Parauapebas,15,chagas,2004-2008,total,1
150655, Santa Luzia do Pará,15,chagas,2004-2008,total,1
150680, Santarém,15,chagas,2004-2008,total,24
150730, São Félix do Xingu,15,chagas,2004-2008,total,4
150770, São Sebastião da Boa Vista,15,chagas,2004-2008,total,2
150800, Tomé-Açu,15,chagas,2004-2008,total,1
150810, Tucuruí,15,chagas,2004-2008,total,5
150820, Vigia,15,chagas,2004-2008,total,1
160030, Macapá,16,chagas,2004-2008,total,58
160060, Santana,16,chagas,2004-2008,total,12
210005, Açailândia,21,chagas,2004-2008,total,1
210675, Miranda do Norte,21,chagas,2004-2008,total,2
211130, São Luís,21,chagas,2004-2008,total,1
211200, Tasso Fragoso,21,chagas,2004-2008,total,1
510320, Colíder,51,chagas,2004-2008,total,4
510410, Guarantã do Norte,51,chagas,2004-2008,total,2
510490, Jangada,51,chagas,2004-2008,total,1
510642, Peixoto de Azevedo,51,chagas,2004-2008,total,1
130008, Anamã,13,chagas,2004-2008,total,1
150110, Bagre,15,chagas,2004-2008,total,8
150150, Benevides,15,chagas,2004-2008,total,1
150160, Bonito,15,chagas,2004-2008,total,1
150180, Breves,15,chagas,2004-2008,total,17
150210, Cametá,15,chagas,2004-2008,total,5
150220, Capanema,15,chagas,2004-2008,total,1
150230, Capitão Poço,15,chagas,2004-2008,total,1
150275, Concórdia do Pará,15,chagas,2004-2008,total,1
150280, Curralinho,15,chagas,2004-2008,total,9
150309, Goianésia do Pará,15,chagas,2004-2008,total,1
150330, Igarapé-Miri,15,chagas,2004-2008,total,1
150495, Nova Esperança do Piriá,15,chagas,2004-2008,total,1
150497, Nova Ipixuna,15,chagas,2004-2008,total,1
150590, Porto de Moz,15,chagas,2004-2008,total,1
150650, Santa Izabel do Pará,15,chagas,2004-2008,total,5
150720, São Domingos do Capim,15,chagas,2004-2008,total,2
